region,location,num_of_rooms,size,fee,final_price,initial_price,year_built,mgmt_cost
Stockholm,Södermalm,2,39,2204,3500000,2950000,1928,3200
Nacka,Finnberget,3,71,3787,3625000,3650000,1948,4800
Nacka,Saltängen,2,53,3216,2450000,2250000,1955,4200
Stockholm,Kista,3,80.9,4777,1850000,1695000,1955,3600
Stockholm,Vasastan,1,37,1783,3100000,3125000,1926,8000
Stockholm,ÄlvsjöCentrum,2,63,3091,2800000,2495000,1985,5832
Stockholm,Vällingby,3,70,3557,2725000,2495000,1985,4000
Stockholm,HammarbySjöstad,2,75,2566,4772500,4695000,2010,3213
Stockholm,Kungsholmen,5,117,6076,9400000,8650000,1961,9360
Stockholm,Vasastan,2,49,2288,4500000,3995000,1926,9360
Stockholm,Vasastan,3,66,2898,6450000,5995000,1913,9360
Stockholm,Kungsholmen,2,64,3200,3995000,4050000,2016,9360
Solna,VästraSkogen,3,78,4225,4650000,4195000,2016,8904
Stockholm,Årsta,2,45,3069,2600000,2275000,1944,8904
Stockholm,Telefonplan,3,78,4576,4800000,4250000,2009,8904
Solna,Frösunda,1,42,2464,2400000,2295000,2005,3620
Stockholm,JohanneshovGloben,2,47,1508,3200000,2695000,1944,3620
Nacka,Jarlaberg,2,63,4546,2100000,1995000,1989,5500
Nacka,Nacka,3,81,4281,2350000,2095000,1989,6400
Stockholm,HammarbySjöstad,3,75,4337,5800000,5295000,2016,8500
Stockholm,Södermalm,1,35,1535,3090000,2795000,2016,6800
Stockholm,Kungsholmen,1.5,39,1843,3325000,2995000,2009,2300
Stockholm,Olovslund,3,74,4279,4000000,3495000,2009,4800
Stockholm,Hägerstensåsen,3,56,3337,3450000,2495000,1946,4800
Stockholm,Hagsätra,4,78,4764,2710000,2295000,2014,6628
Sundbyberg,CentralaSundbyberg,1.5,43,2514,3000000,2595000,1963,5400
Stockholm,Högalid,2,50,3101,4900000,3950000,1942,8030
Stockholm,Skarpnäck,2,63.5,4014,2370000,1895000,1986,4500
Stockholm,Östermalm,1,31,1812,3050000,2695000,1932,1700
Stockholm,Vasastan,4,134,4229,11850000,10995000,1922,1700
Stockholm,HammarbySjöstad,1,39,2926,3350000,3350000,2002,2400
Stockholm,Aspudden,2,39.5,2337,2860000,2375000,1949,2400
Stockholm,Stockholm,2,55.5,3733,4100000,3595000,2007,6000
Nacka,Saltängen,2,54,3554,2450000,2250000,1956,5400
Stockholm,Kista,3,81,4902,2195000,2195000,1979,3600
Stockholm,Bromma,2,47,3358,2250000,2250000,1937,3600
Stockholm,HammarbySjöstad,3,102,5218,10000000,9795000,2011,2800
Stockholm,Vasastan,3,72,1800,6700000,6395000,1927,2800
Solna,Arenastaden,3,73,3265,4430000,3995000,2014,2800
Sundbyberg,Hallonbergen,1.5,50.5,2369,1785000,1695000,1972,2800
Sundbyberg,Ursvik,2,44,2767,2260000,1995000,2017,6462
Stockholm,Södermalm,4.5,144,6780,10300000,9650000,1987,11604
Sundbyberg,CentralaSundbyberg,3,88,4018,5765000,4995000,2016,7020
Stockholm,Södermalm,3,117,4683,10670000,10050000,1910,2400
Nacka,Björknäs,5,107.4,8061,3600000,2995000,1991,11400
Stockholm,Midsommarkransen,3,98,5950,5800000,5295000,2014,5000
Stockholm,Bromma,2,63.5,3459,2550000,2475000,2014,5000
Stockholm,Bromma,2,43,2509,2700000,1995000,1945,4500
Stockholm,Bromma,2,48,2824,3250000,2895000,1939,4400
Stockholm,Södermalm,1.5,33,1614,3100000,2995000,1939,8640
Stockholm,Aspudden,2,54,3512,3400000,3095000,1949,4500
Nacka,Saltsjöqvarn,2,77.3,3624,4400000,3995000,1999,5400
Stockholm,Enskededalen,3,82,3115,3685000,2995000,1982,1800
Stockholm,Mälarhöjden,3,79,4296,3650000,2995000,1989,5360
Stockholm,Hässelby,1,40,2948,1700000,1595000,1955,4000
Stockholm,Hagsätra,2,61,3574,2140000,2180000,1959,3600
Stockholm,Årsta,3,58,3617,2940000,2495000,1946,8064
Stockholm,Södermalm,3,77,3199,7600000,6495000,1902,2424
Stockholm,Gullmarsplan,4,78,4044,4595000,4700000,1946,4440
Sundbyberg,Sundbybergcentrum,2,50,2291,3625000,3625000,2016,4440
Stockholm,Årsta,3,56.5,3830,3100000,2675000,1945,4440
Stockholm,Årsta,2,42,3281,2500000,2190000,1944,6000
Stockholm,Vasastan,2,52,2631,3850000,3695000,1937,5700
Stockholm,Södermalm,3,76,4231,8450000,6495000,1928,5700
Stockholm,Årsta,3,68,2844,4100000,3895000,1948,5600
