region,dist_to_central_st,num_of_rooms,size,fee,final_price,initial_price,year_built
Stockholm,574,1,28,1981,2825000,2495000,1939
Stockholm,558,4,89,4073,8075000,7950000,1883
Stockholm,329,3,77,1412,8150000,6250000,1883
Stockholm,1194,4,89.5,5296,8150000,7750000,2015
Stockholm,924,1.5,40,2001,3900000,3495000,1896
Stockholm,774,2,57,2864,5400000,4250000,1924
Solna,923,1,46,2505,2500000,2500000,1924
Stockholm,1173,3,69,4370,3900000,3450000,1950
Stockholm,1827,3,81.5,4068,3950000,3495000,2010
Stockholm,509,2,39,2204,3500000,2950000,1928
Nacka,1684,3,71,3787,3625000,3650000,1948
Nacka,2108,2,53,3216,2450000,2250000,1955
Stockholm,1335,3,80.9,4777,1850000,1695000,1955
Stockholm,826,1,37,1783,3100000,3125000,1926
Stockholm,1038,2,63,3091,2800000,2495000,1985
Stockholm,2076,3,70,3557,2725000,2495000,1985
Stockholm,1366,2,75,2566,4772500,4695000,2010
Stockholm,1118,5,117,6076,9400000,8650000,1961
Stockholm,794,2,49,2288,4500000,3995000,1926
Stockholm,937,3,66,2898,6450000,5995000,1913
Stockholm,565,2,64,3200,3995000,4050000,2016
Solna,885,3,78,4225,4650000,4195000,2016
Stockholm,1187,2,45,3069,2600000,2275000,1944
Stockholm,1155,3,78,4576,4800000,4250000,2009
Solna,1066,1,42,2464,2400000,2295000,2005
Stockholm,836,2,47,1508,3200000,2695000,1944
Nacka,1960,2,63,4546,2100000,1995000,1989
Nacka,2295,3,81,4281,2350000,2095000,1989
Stockholm,1325,3,75,4337,5800000,5295000,2016
Stockholm,516,1,35,1535,3090000,2795000,2016
Stockholm,831,1.5,39,1843,3325000,2995000,2009
Stockholm,1651,3,74,4279,4000000,3495000,2009
Stockholm,1404,3,56,3337,3450000,2495000,1946
Stockholm,2055,4,78,4764,2710000,2295000,2014
Sundbyberg,945,1.5,43,2514,3000000,2595000,1963
Stockholm,753,2,50,3101,4900000,3950000,1942
Stockholm,1626,2,63.5,4014,2370000,1895000,1986
Stockholm,311,1,31,1812,3050000,2695000,1932
Stockholm,740,4,134,4229,11850000,10995000,1922
Stockholm,1363,1,39,2926,3350000,3350000,2002
Stockholm,1118,2,39.5,2337,2860000,2375000,1949
Stockholm,1486,2,55.5,3733,4100000,3595000,2007
Nacka,2068,2,54,3554,2450000,2250000,1956
Stockholm,1491,3,81,4902,2195000,2195000,1979
Stockholm,2447,2,47,3358,2250000,2250000,1937
Stockholm,1370,3,102,5218,10000000,9795000,2011
Stockholm,739,3,72,1800,6700000,6395000,1927
Solna,1621,3,73,3265,4430000,3995000,2014
Sundbyberg,1604,1.5,50.5,2369,1785000,1695000,1972
Sundbyberg,1932,2,44,2767,2260000,1995000,2017
Stockholm,511,4.5,144,6780,10300000,9650000,1987
Sundbyberg,1034,3,88,4018,5765000,4995000,2016
Stockholm,538,3,117,4683,10670000,10050000,1910
Nacka,1651,5,107.4,8061,3600000,2995000,1991
Stockholm,762,3,98,5950,5800000,5295000,2014
Stockholm,2468,2,63.5,3459,2550000,2475000,2014
Stockholm,1676,2,43,2509,2700000,1995000,1945
Stockholm,1385,2,48,2824,3250000,2895000,1939
Stockholm,1200,1.5,33,1614,3100000,2995000,1939
Stockholm,1192,2,54,3512,3400000,3095000,1949
Nacka,1069,2,77.3,3624,4400000,3995000,1999
Stockholm,1262,3,82,3115,3685000,2995000,1982
Stockholm,1765,3,79,4296,3650000,2995000,1989
Stockholm,2436,1,40,2948,1700000,1595000,1955
Stockholm,1860,2,61,3574,2140000,2180000,1959
